PTT,argos_date,dive_num,depth,obs_temp,doppio_temp
161291,2018-08-06 08:00:00,60,"2,12,14,16,17,18,19,20,21,23","26.91,25.751,24.633,22.272,22.188,19.427,19.131,16.897,16.37,16.37","27.218,24.338,21.269,16.698,15.681,14.906,14.325,13.9,13.601,13.266"
161291,2018-08-06 12:00:00,61,"2,8,10,13,14,15,16,18,22,31","26.75,25.809,23.927,19.427,16.672,15.543,13.113,11.111,10.034,9.64","27.135,26.495,25.816,22.928,21.31,19.635,16.803,14.941,13.272,11.364"
161291,2018-08-07 20:00:00,62,"2,11,16,18,19,20,21,23,28,45","26.92,26.269,23.646,20.589,20.172,17.893,17.839,13.859,10.169,8.83","26.964,26.03,20.269,17.107,15.761,14.591,12.732,11.405,9.945,nan"
161291,2018-08-08 08:00:00,63,"2,3,4","26.87,26.871,26.873","26.827,26.827,26.827"
161291,2018-08-09 04:00:00,136,"2,9,11,12,14,15,16,17,18,20","27.22,26.52,25.964,25.344,22.355,19.349,18.984,16.106,14.866,11.32","26.972,26.791,26.146,25.757,24.369,23.266,21.919,20.385,18.724,17.018"
161291,2018-08-11 20:00:00,93,"2,9,14,16,17,20,21,25,29,35","25.59,25.176,22.604,18.738,18.203,14.82,12.041,8.934,8.33,8.52","27.175,27.16,24.576,22.263,20.873,16.755,14.865,13.132,12.564,12.419"
161291,2018-08-14 04:00:00,94,"2,3,4,5","25.68,25.68,25.68,25.68","27.166,27.167,27.167,27.167"
161291,2018-08-14 12:00:00,95,"2,7,9,12,14,19,20,23,27,41","25.37,25.299,24.245,21.012,16.815,10.51,10.296,8.546,7.635,7.51","27.024,27.026,26.905,24.331,21.821,16.841,15.953,14.317,13.441,12.903"
161291,2018-08-16 12:00:00,96,"2,9,11,15,18,19,20,24,32,43","25.13,24.985,24.136,20.158,15.475,15.258,12.709,9.021,7.249,7.05","26.055,25.11,23.371,18.994,16.506,15.798,15.213,14.161,13.843,nan"
161291,2018-08-18 12:00:00,97,"2,10,12,13,14,15,17,18,22,42","25.45,24.762,22.451,19.816,19.682,16.53,13.761,11.125,8.661,6.35","26.659,22.957,20.291,19.143,18.118,17.17,16.299,15.536,14.479,13.499"
161291,2018-08-20 08:00:00,98,"2,3,4,5","25.34,25.349,25.35,25.35","26.593,26.594,26.597,26.606"
161291,2018-08-21 12:00:00,99,"2,9,11,13,14,15,16,22,26,43","24.92,24.448,22.343,19.161,18.504,16.988,14.614,9.326,8.198,8.08","26.652,24.159,23.001,20.944,19.985,19.099,18.315,15.959,15.111,13.268"
161291,2018-08-21 20:00:00,100,"2,12,16,18,19,20,22,23,26,52","24.67,23.248,18.623,14.186,13.775,11.771,11.291,9.818,8.277,7.54","27.062,20.851,17.706,17.09,16.642,16.265,15.934,15.635,15.012,12.841"
161291,2018-08-23 08:00:00,101,"2,5,6,8,10,11,14,18,23,43","24.19,24.19,23.595,20.686,14.917,14.322,10.503,8.553,7.974,7.66","25.162,25.161,25.16,25.088,23.638,22.721,19.672,15.417,14.776,11.835"
161291,2018-08-23 16:00:00,102,"2,8,9,12,14,16,17,22,39,43","23.35,22.77,22.206,16.906,12.734,9.946,9.447,8.303,7.868,7.24","25.126,24.904,24.399,20.914,17.527,15.655,15.259,14.646,12.319,11.953"
161291,2018-08-24 00:00:00,103,"2,6,9,10,14,15,16,18,25,46","24.06,23.67,21.946,20.288,12.06,10.662,9.767,8.743,7.914,7.8","25.373,25.319,24.88,24.88,18.788,18.788,17.518,16.031,15.599,12.756"
161291,2018-08-24 04:00:00,104,"2,3,4,5,6,10,11","23.8,23.763,23.758,23.75,23.728,23.728,23.585","25.215,25.218,25.219,25.219,25.22,24.919,24.123"
161291,2018-08-25 12:00:00,105,"2,8,11,12,13,14,17,18,24,42","22.096,22.15,20.785,18.885,18.885,12.757,10.911,9.76,9.024,8.77","24.62,23.531,19.359,18.179,17.26,16.543,15.071,14.682,12.519,nan"
161291,2018-08-25 16:00:00,106,"2,7,8,10,14,17,20,23,41,43","22.16,21.647,20.592,16.788,11.814,10.247,9.349,9.078,8.352,7.91","24.827,23.642,22.308,19.247,15.907,14.589,13.554,12.589,nan,nan"
161291,2018-08-26 00:00:00,107,"2,6,8,9,11,13,15,16,30,46","22.58,22.216,21.383,20.368,17.171,12.536,10.339,9.733,7.597,7.43","24.994,24.339,23.842,22.893,19.169,15.658,14.577,13.811,10.117,9.929"
161291,2018-08-26 04:00:00,108,"2,3,4","22.47,22.448,22.423","24.674,24.676,24.67"
161291,2018-08-26 08:00:00,109,"2,4,5,6,7,8,10,11","22.42,22.42,22.409,22.407,22.296,21.75,21.75,22.039","24.556,24.56,24.547,24.384,23.907,23.104,21.802,19.999"
161291,2018-08-26 12:00:00,110,"2,8,11,13,14,16,19,23,30,44","22.43,22.208,19.49,16.924,15.19,12.471,10.627,9.586,8.824,8.56","24.481,20.971,16.357,14.417,13.723,12.749,11.915,11.155,11.385,nan"
161291,2018-08-26 20:00:00,111,"2,7,9,12,13,18,19,22,28,43","23.02,22.41,21.28,17.572,17.328,12.353,10.69,9.194,8.111,7.76","25.456,24.972,23.147,18.27,16.661,12.889,12.431,11.709,10.364,9.463"
161291,2018-08-27 00:00:00,112,"2,8,12,13,14,15,16,17,19,43","23.31,21.956,17.319,14.814,14.456,12.076,11.889,10.24,8.964,7.75","25.051,22.086,16.285,15.329,14.614,14.095,13.718,13.432,12.989,nan"
161291,2018-08-28 08:00:00,113,"2,3,4,6,7,8,9","23.426,23.426,23.43,23.43,23.344,23.24,23.182","25.525,25.526,25.525,25.509,25.39,24.874,23.459"
161291,2018-08-29 00:00:00,114,"2,6,10,11,12,13,16,17,23,42","23.51,23.177,20.184,18.222,17.956,15.611,13.648,11.952,8.244,6.88","26.38,26.207,21.225,19.652,18.271,17.084,14.614,14.071,12.197,nan"
161291,2018-08-30 00:00:00,115,"2,8,14,15,16,17,19,22,27,41","23.16,22.136,16.77,14.932,14.168,12.689,11.615,8.672,7.274,6.9","26.451,25.529,16.819,15.725,14.813,14.074,13.047,12.284,11.941,nan"
161291,2018-09-01 00:00:00,26,"2,9,14,16,17,18,19,21,27,41","23.34,23.16,16.92,15.33,13.035,12.915,10.92,10.155,8.685,8.34","26.038,23.015,17.011,15.466,14.892,14.442,14.1,13.635,13.056,nan"
161291,2018-09-01 08:00:00,73,"2,3,4,5,7","23.22,23.22,23.22,23.22,23.22","25.637,25.636,25.605,25.45,24.551"
161291,2018-09-01 20:00:00,25,"2,8,10,12,14,16,17,23,35,40","23.42,22.869,21.859,19.626,16.52,14.347,12.557,8.533,8.12,8.411","26.134,23.835,20.646,17.618,15.553,14.602,14.399,13.953,12.991,nan"
161291,2018-09-02 00:00:00,24,"2,10,12,13,14,15,17,23,27,39","23.95,22.623,21.184,18.242,18.114,15.859,13.652,9.335,8.2,7.96","26.081,20.3,17.248,16.193,15.467,15.011,14.565,14.006,13.215,12.918"
161291,2018-09-03 08:00:00,2,"2,3,4","23.65,23.621,23.531","26.378,26.359,26.234"
161291,2018-09-03 12:00:00,3,"2,8,11,13,14,15,19,21,27,40","23.58,22.799,19.543,16.042,15.017,12.331,8.944,8.114,7.414,7.3","26.329,23.973,20.164,17.814,16.733,15.759,13.406,12.978,12.62,11.965"
161291,2018-09-04 04:00:00,4,"2,3,4,5","23.73,23.617,23.497,23.46","26.587,26.573,26.469,26.172"
161291,2018-09-04 12:00:00,5,"2,9,11,15,16,17,18,20,27,40","23.59,22.783,20.48,13.756,11.251,10.865,9.537,8.545,7.099,6.78","26.362,23.524,21.023,16.509,15.69,15.014,14.483,13.801,13.212,12.168"
161291,2018-09-07 12:00:00,6,"2,9,12,13,14,15,16,21,37,43","24.28,22.338,16.797,16.664,13.675,13.599,10.838,6.801,5.24,6.42","27.116,23.114,18.978,17.718,16.561,15.527,15.527,12.297,10.457,nan"
161291,2018-09-10 04:00:00,7,"2,10,15,17,20,21,29,33,35,40","21.04,20.911,19.395,15.429,11.849,11.215,10.709,11.215,10.29,10.451","24.048,20.787,15.801,15.293,15.475,15.497,15.522,15.344,15.314,nan"
161291,2018-09-12 20:00:00,8,"2,6,14,19,22,25,30,33,34,40","20.81,19.767,18.998,13.783,12.619,10.643,9.83,9.863,10.379,10.17","24.276,22.693,20.685,15.701,13.563,13.203,13.134,13.054,13.021,12.7"
